,date,plume_lat,plume_lon,emission,source_type,ipcc
2642,06/08/2021,31.970244,-103.59237,84.90438428,well,1B2 Oil & Natural Gas
2643,19/07/2021,40.0175815,-104.88895,65.2497061,well,1B2 Oil & Natural Gas
2644,04/08/2021,32.239447,-101.92032,78.44677216,pipeline,1B2 Oil & Natural Gas
2645,26/07/2021,31.6116043,-101.87713,55.42911273,pipeline,1B2 Oil & Natural Gas
2646,04/08/2021,31.717442,-103.57384,304.1210932,pipeline,1B2 Oil & Natural Gas
2647,10/08/2021,31.847703,-102.16219,276.3637383,well,1B2 Oil & Natural Gas
2648,17/07/2021,40.1278666,-104.58714,146.7538973,processing,1B2 Oil & Natural Gas
2649,15/07/2021,40.1990991,-104.49482,275.6194724,well,1B2 Oil & Natural Gas
2650,31/07/2021,31.816305,-102.01663,680.080971,well,1B2 Oil & Natural Gas
2651,28/04/2021,30.0542547,-93.751225,2195.383009,refinery,1A1b Petroleum Refining
2652,26/07/2021,32.1351505,-101.82999,56.1034931,compressor,1B2 Oil & Natural Gas
2653,16/10/2021,32.1351505,-101.82999,56.1034931,compressor,1B2 Oil & Natural Gas
2654,16/10/2021,32.1351505,-101.82999,56.1034931,compressor,1B2 Oil & Natural Gas
2655,26/07/2021,32.434963,-101.82999,485.952494,compressor,1B2 Oil & Natural Gas
2656,16/10/2021,32.434963,-101.82999,485.952494,compressor,1B2 Oil & Natural Gas
2657,16/10/2021,32.434963,-101.82999,485.952494,compressor,1B2 Oil & Natural Gas
2658,21/05/2021,40.021445,-80.274164,1893.61662,coal vent,1B1a Coal Mining
2659,06/08/2021,31.7239142,-103.75062,89.61869915,tank,1B2 Oil & Natural Gas
2660,26/07/2021,32.268534,-101.81612,404.6270565,well,1B2 Oil & Natural Gas
2661,10/08/2021,31.773806,-101.75899,3297.108379,compressor,1B2 Oil & Natural Gas
2662,27/07/2021,31.8266973,-103.73378,37.50480997,compressor,1B2 Oil & Natural Gas
2663,27/07/2021,31.8834292,-103.34993,95.9813384,well,1B2 Oil & Natural Gas
2664,12/05/2021,41.881996,-75.608075,1082.07944,pipeline,1B2 Oil & Natural Gas
2665,04/08/2021,31.737311,-103.52708,83.674231,pipeline,1B2 Oil & Natural Gas
2666,27/07/2021,31.9840028,-103.429,29.33931381,well,1B2 Oil & Natural Gas
2667,29/07/2021,32.1663585,-104.05587,245.204394,well,1B2 Oil & Natural Gas
2668,21/05/2021,39.845727,-80.297788,960.0794018,well,1B2 Oil & Natural Gas
2669,05/08/2021,31.882903,-103.45925,92.64645757,well,1B2 Oil & Natural Gas
